Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Nippon India Gold Savings Fund(G),Himanshu Mange,GOLD-MF,Unrated,2744.5,0.35,Open Ended,07-Mar-11,Gold-India,36.46,38.31,26.62,6.62,16.06,17.81,29.45,23.55,20.91,12.71,11.67,93,-,-,-,-,-,-,-,-,-,0.86,0.35,0.90,1.23,12.14,Gold : MFs,1% on or before for 15D Nil after 15D
Nippon India Growth Fund(G),Rupesh Patel,EQ-MID,4,33174.7,1.58,Open Ended,08-Oct-95,Nifty Midcap 150 - TRI,3810.97,4280.44,3399.83,3.35,3.36,-4.83,10.05,31.72,23.46,32.48,17.25,14,94,58489,24.16,61.21,13.49,Financials,-,-,-,0.22,0.31,0.61,0.95,16.72,Equity : Mid Cap,1% on or before 1M Nil after 1M
Nippon India Hybrid Bond Fund(G),Sushil Budhia,HY-DT(CO),1,834.6,1.90,Open Ended,12-Jan-04,CRISIL Hybrid 85+15 - Conservative Index,56.70,56.70,52.17,1.55,2.92,3.93,8.43,8.74,8.35,9.03,5.44,0,48,539990,11.85,0.2,-,Financials,2.41,1.97,8.64,0.10,0.48,1.01,0.58,2.31,Hybrid : Debt Oriented (Conservative),Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
Nippon India Income Fund(G),Vivek Sharma,DT-M&LD,3,419.8,1.52,Open Ended,01-Jan-98,NIFTY Medium to Long Duration Debt Index,89.88,89.99,81.61,1.56,3.50,5.04,10.48,8.13,7.60,5.77,7.06,0,-,-,-,-,-,-,14.98,6.53,7.32,0.06,0.46,1.08,0.64,2.17,Debt : Medium to Long Duration,0.25% on or before 15D Nil after 15D
Nippon India Index Fund-BSE Sensex Plan(G),Himanshu Mange,EQ-INDX,2,839.4,0.48,Open Ended,28-Sep-10,BSE SENSEX - TRI,40.72,43.39,36.37,3.63,4.56,0.36,8.44,15.29,12.87,19.59,11.86,18,30,669845,99.09,0.47,-,Financials,-,-,-,-0.05,0.16,0.32,1.00,12.76,Equity : Index Funds,Nil
Nippon India Index Fund-Nifty 50 Plan(G),Himanshu Mange,EQ-INDX,2,2308.7,0.42,Open Ended,28-Sep-10,NIFTY 50 - TRI,41.07,44.16,36.80,3.43,4.70,0.06,8.37,16.46,13.13,20.03,11.64,13,50,541621,98.72,0.85,-,Financials,-,-,-,-0.05,0.17,0.34,1.00,13.02,Equity : Index Funds,Nil
Nippon India Innovation Fund-Reg(G),Vinay Sharma,EQ-THEM,Unrated,2309.6,2.00,Open Ended,28-Aug-23,NIFTY 500 - TRI,12.99,15.16,11.84,3.17,2.43,-5.52,4.37,-,-,-,-,26,45,72003,43.45,28.86,26.01,Financials,-,-,-,-0.02,0.21,0.39,1.04,15.59,Equity : Thematic,1% on or before 1Y Nil after 1Y
Nippon India Japan Equity Fund(G),Kinjal Desai,EQ-INTL,Unrated,258.0,2.46,Open Ended,26-Aug-14,BSE 500 Japan - TRI,19.07,20.05,16.44,1.99,0.79,4.81,8.25,11.67,9.74,8.23,5.65,33,30,-,-,-,-,-,-,-,-,0.10,0.11,0.20,0.58,14.77,Equity : International,1% on or before 1Y Nil after 1Y
Nippon India Large Cap Fund(G),Sailesh Raj Bhan,EQ-LC,2,37546.4,1.56,Open Ended,08-Aug-07,BSE 100 - TRI,86.16,92.72,78.13,3.09,4.22,-1.18,6.60,23.09,20.08,25.85,13.84,26,70,305565,82.81,9.49,3.88,Financials,-,-,-,0.41,0.30,0.61,0.97,13.44,Equity : Large Cap,1% on or before 7D Nil after 7D
Nippon India Liquid Fund(G),Vikash Agarwal,DT-LIQ,4,28240.8,0.33,Open Ended,09-Dec-03,Nifty Liquid Fund Index,6307.73,6307.73,5883.12,0.59,1.80,3.57,7.24,7.22,6.78,5.41,6.27,0,-,-,-,-,-,-,0.19,0.18,7.14,0.15,2.34,0.97,0.30,0.31,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Nippon India Low Duration Fund(G),Vivek Sharma,DT-LOWD,4,6876.3,0.95,Open Ended,20-Mar-07,CRISIL Low Duration Debt Index,3704.07,3704.07,3436.48,0.96,2.27,3.98,7.82,7.34,6.65,6.18,6.75,0,-,-,-,-,-,-,1.25,0.94,7.68,-0.20,1.10,0.90,1.29,0.65,Debt : Low Duration,Nil
Nippon India Money Market Fund(G),Vikash Agarwal,DT-MM,3,15229.5,0.44,Open Ended,15-Jun-05,Nifty Money Market Index,4108.40,4108.40,3804.73,0.93,2.33,4.13,8.00,7.77,7.22,6.12,6.83,0,-,-,-,-,-,-,0.90,0.84,7.33,0.15,1.71,0.99,0.52,0.51,Debt : Money Market,Nil
Nippon India Multi Asset Allocation Fund-Reg(G),Ashutosh Bhargava,HY-MULTI,Unrated,5330.1,1.48,Open Ended,28-Aug-20,BSE 500 - TRI,20.46,20.83,18.22,2.49,3.94,1.07,10.93,21.55,16.37,-,-,86,86,203545,42.52,9.37,4.18,Financials,4.03,3.03,7.38,0.39,0.33,0.66,0.58,9.23,Hybrid : Multi Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
Nippon India Multi Cap Fund(G),Sailesh Raj Bhan,EQ-MLC,3,38636.7,1.56,Open Ended,28-Mar-05,Nifty500 Multicap 50:25:25 - TRI,275.88,308.99,250.71,2.50,3.40,-5.22,4.78,27.18,22.60,31.07,14.29,20,121,95457,46.52,25.24,26.01,Financials,-,-,-,0.48,0.32,0.61,0.92,15.13,Equity : Multi Cap,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
Nippon India Nifty 50 Value 20 Index Fund-Reg(G),Jitendra Tolani,EQ-INDX,Unrated,944.0,0.78,Open Ended,19-Feb-21,Nifty50 Value 20 - TRI,18.09,20.78,16.75,0.84,-3.30,-8.27,2.84,17.28,14.34,-,-,42,20,471878,97.41,2.46,-,Technology,-,-,-,-0.08,0.19,0.38,1.00,13.59,Equity : Index Funds,Nil
Nippon India Nifty 500 Equal Weight Index Fund-Reg(G),Jitendra Tolani,EQ-INDX,Unrated,375.7,0.89,Open Ended,10-Sep-24,NIFTY500 Equal Weight - TRI,8.53,10.15,7.71,2.38,-0.44,-9.14,-,-,-,-,-,-,506,34900,20.18,29.16,50.65,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,NIL
Nippon India Nifty 500 Low Volatility 50 Index Fund-Reg(G),Jitendra Tolani,EQ-INDX,Unrated,-,-,Open Ended,-,Nifty500 Low Volatility 50 - TRI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : Index Funds,NIL
Nippon India Nifty 500 Momentum 50 Index Fund-Reg(G),Jitendra Tolani,EQ-INDX,Unrated,685.9,0.87,Open Ended,30-Sep-24,Nifty500 Momentum 50 - TRI,7.73,10.08,6.87,4.14,1.03,-16.49,-,-,-,-,-,-,50,76845,47.6,38.25,14.03,Technology,-,-,-,-,-,-,-,-,Equity : Index Funds,NIL
Nippon India Nifty 500 Quality 50 Index Fund-Reg(G),Jitendra Tolani,EQ-INDX,Unrated,-,-,Open Ended,-,Nifty500 Quality 50 - TRI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : Index Funds,NIL
Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60:40 Index Fund(G),Vivek Sharma,DT-M&LD,Unrated,3442.2,0.31,Open Ended,29-Mar-22,Nifty AAA CPSE Bond Plus SDL Apr 2027 60:40 Index,12.03,12.03,11.07,1.20,2.61,4.32,8.71,7.65,6.66,-,-,0,-,-,-,-,-,-,1.66,1.49,7.07,0.14,0.34,0.48,0.09,2.03,Debt : Medium to Long Duration,Nil
Nippon India Nifty AAA PSU Bond Plus SDL - Sep 2026 Maturity 50:50 Index Fund-Reg(G),Vivek Sharma,DT-B&PSU,Unrated,406.9,0.38,Open Ended,27-Oct-22,Nifty AAA PSU Bond Plus SDL Sep 2026 50:50 Index,12.01,12.01,11.10,1.04,2.36,4.04,8.29,7.43,-,-,-,0,-,-,-,-,-,-,1.22,1.11,7.01,0.15,1.15,1.11,0.28,0.84,Debt : Banking & PSU,Nil
Nippon India Nifty Alpha Low Volatility 30 Index Fund(G),Jitendra Tolani,EQ-INDX,Unrated,1239.8,0.89,Open Ended,19-Aug-22,NIFTY Alpha Low-Volatility 30 - TRI,15.43,18.67,13.99,4.26,0.92,-8.29,-1.45,21.42,-,-,-,74,30,197963,85.37,14.26,-,Healthcare,-,-,-,-0.10,0.27,0.49,1.00,13.81,Equity : Index Funds,Nil
Nippon India Nifty Auto ETF,Jitendra Tolani,EQ-ETF,Unrated,302.6,0.22,Open Ended,24-Jan-22,NIFTY AUTO - TRI,227.29,281.74,202.14,4.73,-0.85,-5.49,-0.26,30.12,27.45,-,-,65,15,178974,77.75,22.08,-,Automobile and Ancillaries,-,-,-,-0.01,0.37,0.73,1.00,17.19,Equity : ETFs,null
Nippon India Nifty Auto Index Fund-Reg(G),Jitendra Tolani,EQ-AUTO,Unrated,29.3,0.90,Open Ended,04-Dec-24,NIFTY AUTO - TRI,9.42,10.17,8.38,4.68,-0.97,-,-,-,-,-,-,-,15,179218,79.61,22.5,-,Automobile and Ancillaries,-,-,-,-,-,-,-,-,Equity : Sectoral - Auto,NIL
Nippon India Nifty Bank Index Fund-Reg(G),Jitendra Tolani,EQ-INDX,Unrated,143.9,0.79,Open Ended,22-Feb-24,NIFTY BANK - TRI,11.70,11.82,10.03,6.69,11.39,5.78,11.42,-,-,-,-,28,12,503473,85.04,14.8,-,Financials,-,-,-,-0.08,0.15,0.30,1.00,14.14,Equity : Index Funds,Nil
Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund-Reg(G),Vivek Sharma,DT-GILT,Unrated,758.8,0.42,Open Ended,19-Dec-22,Nifty G-Sec Jun 2036 Index,12.58,12.58,11.15,2.22,4.34,6.62,13.07,9.99,-,-,-,0,-,-,-,-,-,-,11.02,7.37,6.78,-,0.64,1.42,1.11,2.73,Debt : Gilt,Nil
Nippon India Nifty G-Sec Oct 2028 Maturity Index Fund-Reg(G),Vivek Sharma,DT-M&LD,Unrated,120.6,0.36,Open Ended,06-Mar-23,Nifty G-Sec Oct 2028 Index,12.01,12.01,10.92,1.60,3.17,5.22,10.11,8.15,-,-,-,0,-,-,-,-,-,-,3.28,2.80,6.54,0.11,0.92,1.37,0.52,1.37,Debt : Medium to Long Duration,Nil
Nippon India Nifty G-Sec Sep 2027 Maturity Index Fund-Reg(G),Vivek Sharma,DT-GILT,Unrated,396.6,0.40,Open Ended,06-Dec-22,Nifty G-Sec Sep 2027 Index,11.96,11.96,10.96,1.32,2.72,4.60,9.23,7.68,-,-,-,0,-,-,-,-,-,-,2.22,1.99,6.53,0.11,0.88,1.29,0.45,1.23,Debt : Gilt,Nil
Nippon India Nifty IT Index Fund-Reg(G),Jitendra Tolani,EQ-INDX,Unrated,133.1,0.86,Open Ended,22-Feb-24,NIFTY IT - TRI,9.52,12.15,8.53,-2.89,-15.65,-13.80,9.21,-,-,-,-,36,10,375885,83.31,16.69,-,Technology,-,-,-,-0.09,-0.05,-0.09,0.99,23.03,Equity : Index Funds,Nil
Nippon India Nifty Midcap 150 Index Fund-Reg(G),Himanshu Mange,EQ-INDX,Unrated,1544.5,0.80,Open Ended,19-Feb-21,Nifty Midcap 150 - TRI,22.24,25.44,20.04,3.85,1.70,-5.21,4.76,27.56,20.62,-,-,37,149,55366,8.82,87.34,3.63,Financials,-,-,-,-0.07,0.26,0.49,1.00,17.27,Equity : Index Funds,Nil
Nippon India Nifty Next 50 Junior BeES FoF-Reg(G),Himanshu Mange,FOF-DOM,Unrated,522.1,0.30,Open Ended,08-Mar-19,NIFTY NEXT 50,23.72,28.52,21.11,2.41,3.45,-8.34,-0.55,27.52,15.16,21.93,-,-,-,-,-,-,-,-,-,-,-,0.02,0.17,0.30,0.99,19.78,FoFs : Domestic,Nil
Nippon India Nifty Pharma ETF,Jitendra Tolani,EQ-ETF,Unrated,856.4,0.21,Open Ended,06-Jul-21,NIFTY PHARMA - TRI,22.08,24.25,18.75,2.99,1.82,-2.56,15.22,31.61,17.72,-,-,46,20,116738,72.35,22.49,5.13,Healthcare,-,-,-,-0.01,0.23,0.48,1.00,16.24,Equity : ETFs,null
Nippon India Nifty Realty Index Fund-Reg(G),Jitendra Tolani,EQ-INDX,Unrated,19.0,0.90,Open Ended,04-Dec-24,NIFTY REALTY - TRI,8.16,10.38,7.19,3.97,-2.20,-,-,-,-,-,-,-,10,68617,36.52,48.34,14.37,Construction,-,-,-,-,-,-,-,-,Equity : Index Funds,NIL
Nippon India Nifty SDL Plus G-Sec - Jun 2029 Maturity 70:30 Index Fund-Reg(G),Vivek Sharma,DT-M&LD,Unrated,322.5,0.40,Open Ended,20-Feb-23,Nifty SDL Plus G-Sec Jun 2029 70:30 Index,12.05,12.05,10.89,1.85,3.36,5.31,10.75,8.53,-,-,-,0,-,-,-,-,-,-,3.92,3.29,6.87,0.10,0.90,1.45,0.59,1.51,Debt : Medium to Long Duration,Nil
Nippon India Nifty SDL Plus G-Sec-Jun 2028 Maturity 70:30 Index Fund-Reg(G),Vivek Sharma,DT-M&LD,Unrated,391.1,0.41,Open Ended,24-Nov-22,Nifty SDL Plus G-Sec Jun 2028 70:30 Index,12.14,12.14,11.04,1.73,3.09,4.91,9.98,8.25,-,-,-,0,-,-,-,-,-,-,2.87,2.50,6.85,0.12,0.90,1.35,0.48,1.27,Debt : Medium to Long Duration,Nil
Nippon India Nifty Smallcap 250 Index Fund-Reg(G),Himanshu Mange,EQ-INDX,Unrated,1922.2,0.95,Open Ended,16-Oct-20,Nifty Smallcap 250 - TRI,29.42,36.07,26.57,1.59,-2.21,-12.96,-4.13,26.11,16.83,-,-,41,250,16963,-,5.02,94.58,Financials,-,-,-,-0.11,0.18,0.31,0.99,20.46,Equity : Index Funds,Nil
Nippon India Nivesh Lakshya Fund(G),Pranay Sinha,DT-LD,Unrated,9659.2,0.65,Open Ended,06-Jul-18,CRISIL Long Duration Debt Index,18.10,18.10,16.01,2.22,4.44,5.83,13.18,9.73,9.14,6.83,-,0,-,-,-,-,-,-,21.92,10.69,6.95,-0.02,0.36,0.76,1.25,4.13,Debt : Long Duration,1% on or before 1M Nil after 1M
Nippon India Overnight Fund-Reg(G),Vikash Agarwal,DT-ON,5,4738.3,0.16,Open Ended,18-Dec-18,CRISIL Liquid Overnight Index,137.04,137.04,128.67,0.49,1.51,3.17,6.53,6.61,6.29,5.00,-,0,-,-,-,-,-,-,0.01,0.01,7.33,-,3.05,0.92,0.89,0.20,Debt : Overnight,Nil
Nippon India Passive Flexicap FoF-Reg(G),Ashutosh Bhargava,FOF-DOM,Unrated,221.6,0.58,Open Ended,01-Jan-21,NIFTY 500 - TRI,19.77,22.09,17.94,2.77,2.55,-4.11,4.05,19.82,14.22,-,-,10,-,-,-,-,-,-,-,-,-,-0.08,0.18,0.34,0.98,14.37,FoFs : Domestic,NIL
Nippon India Pharma Fund(G),Sailesh Raj Bhan,EQ-PHRM,3,8081.0,1.82,Open Ended,05-Jun-04,BSE Health Care - TRI,493.65,530.57,419.77,3.25,3.71,-1.91,15.97,32.14,20.01,22.36,14.24,14,36,62246,52.35,18.97,28.14,Healthcare,-,-,-,-,0.28,0.56,0.91,14.95,Equity : Sectoral - Pharma,1% on or before 1M Nil after 1M
Nippon India Power & Infra Fund(G),Rahul Modi,EQ-POWER,Unrated,6848.7,1.84,Open Ended,08-May-04,Nifty Infrastructure - TRI,323.28,383.04,284.09,2.26,2.55,-7.01,-0.47,31.50,28.34,34.39,16.04,35,56,121595,58.49,24.37,16.79,Energy,-,-,-,0.48,0.34,0.65,1.10,18.88,Equity : Sectoral - Energy / Power,1% on or before 1M Nil after 1M
Nippon India Quant Fund(G),Ashutosh Bhargava,EQ-THEM,Unrated,92.2,0.95,Open Ended,18-Apr-08,BSE 200 - TRI,68.31,74.18,60.87,3.22,4.73,-1.05,7.23,25.01,20.52,24.16,13.29,108,35,305877,86.26,12.72,-,Financials,-,-,-,0.36,0.28,0.55,1.01,14.66,Equity : Thematic,0.25% on or before 1M Nil after 1M
Nippon India Retirement Fund-Income Generation(G),Pranay Sinha,HY-SOL,1,152.9,2.08,Open Ended,11-Feb-15,CRISIL Hybrid 85+15 - Conservative Index,20.22,20.24,18.28,2.20,3.60,3.17,10.47,10.83,9.44,8.36,7.32,0,28,360330,16.69,1.98,1.03,Financials,17.79,9.44,6.87,-0.10,0.28,0.58,1.42,5.23,Hybrid : Solution Oriented,NIL
Nippon India Retirement Fund-Wealth Creation(G),Pranay Sinha,HY-SOL,3,3044.0,1.95,Open Ended,11-Feb-15,BSE 500 - TRI,27.33,30.67,24.95,2.69,2.81,-4.31,5.87,22.94,17.09,22.97,10.77,52,64,221986,73.63,15.53,10.36,Financials,0.08,0.07,6.28,0.12,0.22,0.42,1.02,15.12,Hybrid : Solution Oriented,Nil
Nippon India Short Term Fund(G),Sushil Budhia,DT-SD,4,6232.1,0.95,Open Ended,18-Dec-02,CRISIL Short Duration Debt Index,52.35,52.35,47.84,1.48,3.08,4.93,9.51,8.06,6.99,6.65,7.11,0,-,-,-,-,-,-,3.73,2.79,7.51,0.09,0.60,0.87,0.38,1.32,Debt : Short Duration,Nil
Nippon India Silver ETF,Vikram Dhawan,GOLD-ETF,Unrated,6132.2,0.59,Open Ended,04-Feb-22,Silver,91.50,97.75,77.13,-6.57,1.75,-4.56,16.31,11.94,12.75,-,-,34,-,-,-,-,-,-,-,-,-,0.63,0.12,0.26,0.22,21.23,Gold : ETFs,null
Nippon India Silver ETF FOF-Reg(G),Jitendra Tolani,FOF-DOM,Unrated,633.5,0.59,Open Ended,02-Feb-22,Silver,14.59,15.54,12.36,-6.15,2.23,-4.52,15.89,11.41,12.73,-,-,-,-,-,-,-,-,-,-,-,-,0.30,0.12,0.25,1.40,20.27,FoFs : Domestic,1% on or before 15D Nil after 15D
Nippon India Small Cap Fund(G),Samir Rachh,EQ-SML,4,55490.7,1.44,Open Ended,16-Sep-10,Nifty Smallcap 250 - TRI,154.21,183.53,138.65,3.04,-0.90,-11.44,0.08,26.43,21.59,37.54,20.68,18,229,21269,13.64,14.7,66.44,Capital Goods,-,-,-,0.38,0.26,0.46,0.85,18.02,Equity : Small Cap,1% on or before 1Y Nil after 1Y
Nippon India Strategic Debt Fund(G),Sushil Budhia,DT-MD,2,99.2,1.09,Open Ended,26-Jun-14,CRISIL Medium Duration Debt Index,15.38,15.38,14.00,1.56,3.14,5.07,9.94,7.93,6.96,8.16,3.41,0,-,-,-,-,-,-,4.97,3.53,7.87,0.05,0.45,0.81,0.47,1.71,Debt : Medium Duration,1% on or before 12M Nil after 12M
Nippon India Taiwan Equity Fund-Reg(G),Kinjal Desai,EQ-INTL,Unrated,275.1,2.44,Open Ended,11-Dec-21,Taiwan Capitalization Weighted Stock Index,10.45,12.25,7.62,-3.86,-19.49,-16.32,-8.19,16.40,9.67,-,-,125,31,-,-,-,-,-,-,-,-,-0.09,0.02,0.04,1.24,27.66,Equity : International,1% on or before 3M Nil after 3M
Nippon India Ultra Short Duration Fund(G),Vivek Sharma,DT-USD,3,6497.6,1.11,Open Ended,06-Dec-01,CRISIL Ultra Short Term Debt Index,3986.16,3986.16,3714.39,0.77,2.01,3.71,7.34,7.12,6.59,6.55,5.93,0,-,-,-,-,-,-,0.77,0.48,8.04,-0.15,1.57,0.88,1.17,0.46,Debt : Ultra Short Duration,Nil
Nippon India US Equity Opp Fund(G),Kinjal Desai,EQ-INTL,Unrated,670.5,2.43,Open Ended,23-Jul-15,S&P 500 - TRI,31.92,36.82,29.38,-2.40,-12.68,-2.35,7.46,17.77,12.70,13.30,-,18,27,-,-,-,-,-,-,-,-,0.15,0.11,0.19,0.65,17.16,Equity : International,1% on or before 1M Nil after 1M
Nippon India Value Fund(G),Dhrumil Shah,EQ-VAL,4,8101.1,1.84,Open Ended,08-Jun-05,NIFTY 500 - TRI,214.48,238.76,193.88,3.16,3.12,-3.73,6.82,29.73,21.08,28.99,15.53,48,75,155670,60.34,17.08,18.9,Financials,-,-,-,0.38,0.28,0.55,1.06,15.80,Equity : Value / Contra,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
Nippon India Vision Fund(G),Amar Kalkundrikar,EQ-L&M,3,5467.5,1.95,Open Ended,08-Oct-95,NIFTY LargeMidcap 250 - TRI,1389.37,1504.57,1226.55,3.17,3.85,-1.00,10.40,27.41,20.16,26.60,12.26,87,74,172117,60.9,36.01,-,Financials,-,-,-,0.20,0.28,0.54,0.95,14.65,Equity : Large & Mid Cap,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
NJ Balanced Advantage Fund-Reg(G),Viral Shah,HY-EQ,Unrated,3691.9,1.90,Open Ended,29-Oct-21,NIFTY 50 Hybrid Composite Debt 50:50 Index,13.05,14.64,12.38,2.10,0.08,-4.03,1.47,13.99,10.46,-,-,356,114,157276,50.11,24.6,8.9,Energy,0.32,0.30,6.32,0.05,0.18,0.35,0.62,9.24,Hybrid : Equity Oriented,Nil upto 5% of units and 1% for remaining units on or before 30D Nil after 30D
NJ ELSS Tax Saver Scheme-Reg(G),Viral Shah,EQ-ELSS,Unrated,247.7,2.31,Open Ended,16-Jun-23,NIFTY 500 - TRI,13.56,16.24,12.44,2.18,-0.51,-8.41,1.49,-,-,-,-,90,25,46672,11.4,62.05,25.19,Healthcare,-,-,-,-0.08,0.24,0.46,1.13,16.58,Equity : Tax Saving (ELSS),Nil
NJ Flexi Cap Fund-Reg(G),Dhaval Patel,EQ-FLEX,Unrated,2027.8,2.03,Open Ended,05-Sep-23,NIFTY 500 - TRI,12.67,16.13,11.74,2.74,-1.69,-10.33,-3.04,-,-,-,-,97,50,99248,49.23,37.1,13.2,Healthcare,-,-,-,-0.12,0.18,0.36,1.16,18.38,Equity : Flexi Cap,Nil upto 5% of units and 1% for remaining units on or before 30D Nil after 30D
Old Bridge Focused Equity Fund-Reg(G),Tarang Agrawal,EQ-FLEX,Unrated,1329.4,2.19,Open Ended,24-Jan-24,BSE 500 - TRI,11.45,12.90,10.01,1.96,3.82,-4.36,9.39,-,-,-,-,25,23,51805,37.14,15.56,38.61,Healthcare,-,-,-,0.20,0.12,0.23,1.06,16.29,Equity : Flexi Cap,1% on or before 365D Nil after 365D
Parag Parikh Arbitrage Fund-Reg(G),Rajeev Thakkar,HY-ARB,Unrated,1304.5,0.65,Open Ended,02-Nov-23,Nifty 50 Arbitrage - TRI,11.12,11.12,10.36,0.66,1.80,3.53,7.15,-,-,-,-,0,87,251421,55.3,10.83,3.08,Financials,0.36,0.34,7.00,0.19,2.03,1.01,0.22,0.44,Hybrid : Arbitrage,0.25% on or before 30D Nil after 30D
Parag Parikh Conservative Hybrid Fund-Reg(G),Rajeev Thakkar,HY-DT(CO),Unrated,2451.5,0.65,Open Ended,26-May-21,CRISIL Hybrid 85+15 - Conservative Index,14.86,14.87,13.43,1.84,3.21,3.85,10.45,13.17,11.46,-,-,0,20,188495,9.37,2.24,1.01,Energy,3.84,3.07,7.07,0.29,0.59,1.37,0.79,3.42,Hybrid : Debt Oriented (Conservative),Nil upto 10% of units For remaining units 1% on or before 365D and Nil after 365D
Parag Parikh Dynamic Asset Allocation Fund-Reg(G),Rajeev Thakkar,HY-DYN,Unrated,1761.4,0.64,Open Ended,27-Feb-24,CRISIL Hybrid 50+50 - Moderate Index,11.20,11.22,10.16,1.62,3.04,3.71,9.84,-,-,-,-,0,66,230854,28.53,4.84,3.37,Energy,3.88,3.07,7.05,0.45,0.57,1.48,0.20,3.07,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Parag Parikh ELSS Tax Saver Fund-Reg(G),Rajeev Thakkar,EQ-ELSS,Unrated,4905.7,1.73,Open Ended,24-Jul-19,NIFTY 500 - TRI,30.55,32.02,26.45,1.59,3.11,0.94,12.91,21.56,18.35,26.91,-,15.31,32,254090,69.39,2.51,8.7,Financials,-,-,-,0.47,0.34,0.71,0.67,10.57,Equity : Tax Saving (ELSS),Nil
Parag Parikh Flexi Cap Fund-Reg(G),Rajeev Thakkar,EQ-FLEX,5,93440.9,1.33,Open Ended,28-May-13,NIFTY 500 - TRI,80.32,82.67,70.30,1.77,0.94,0.68,12.79,24.04,18.90,27.35,17.07,26.47,87,325043,62.27,2.5,2.55,Financials,-,-,-,0.49,0.33,0.61,0.66,10.94,Equity : Flexi Cap,Nil upto 10% of units. For remaining units 2% on or before 365D 1% after 365D but on or before 730D Nil after 730D
Parag Parikh Liquid Fund-Reg(G),Raj Mehta,DT-LIQ,3,2494.0,0.26,Open Ended,11-May-18,CRISIL Liquid Debt Index,1434.30,1434.30,1342.06,0.55,1.67,3.37,6.90,6.86,6.41,5.09,-,0,-,-,-,-,-,-,0.11,0.10,6.79,-0.04,2.44,0.91,1.04,0.27,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
PGIM India Arbitrage Fund-Reg(G),Chetan Chavan,HY-ARB,2,97.2,1.09,Open Ended,27-Aug-14,Nifty 50 Arbitrage,18.23,18.23,17.00,0.71,1.94,3.62,7.17,7.07,6.33,5.12,5.58,121,26,183393,42.31,25.73,0.93,Energy,0.02,0.02,7.11,0.03,1.10,0.89,0.60,0.56,Hybrid : Arbitrage,0.25% on or before 30D Nil after 30D
PGIM India Balanced Advantage Fund-Reg(G),Utsav Mehta,HY-DYN,Unrated,957.3,2.20,Open Ended,04-Feb-21,CRISIL Hybrid 50+50 - Moderate Index,14.84,15.49,13.49,3.13,3.78,0.20,7.31,12.13,9.79,-,-,50,53,280731,51.68,10.44,5.18,Financials,9.09,4.91,7.03,-0.11,0.13,0.25,0.70,9.69,Hybrid : Dynamic Asset Allocation,0.50% on or before 90D Nil after 90D
PGIM India Corp Bond Fund(G),Puneet Pal,DT-CORP,Unrated,89.7,1.01,Open Ended,30-Jan-03,CRISIL Composite Bond Index,42.87,42.87,39.28,1.56,3.19,4.81,9.22,7.63,6.71,6.52,6.58,0,-,-,-,-,-,-,5.32,3.88,7.17,0.09,0.60,0.88,0.33,1.20,Debt : Corporate Bond,Nil
PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund-Reg(G),Puneet Pal,DT-M&LD,Unrated,27.0,0.41,Open Ended,22-Feb-23,CRISIL IBX Gilt Index - April 2028,11.94,11.94,10.91,1.43,2.88,4.74,9.55,7.84,-,-,-,0,-,-,-,-,-,-,2.60,2.27,6.58,0.12,0.96,1.35,0.47,1.25,Debt : Medium to Long Duration,Nil
PGIM India Dynamic Bond Fund(G),Puneet Pal,DT-DYN,3,114.1,1.64,Open Ended,12-Jan-12,CRISIL Dynamic Bond Index,2646.80,2650.33,2385.69,1.96,3.97,5.32,11.29,8.62,7.37,5.93,7.18,0,-,-,-,-,-,-,15.37,7.90,6.90,-0.41,0.47,1.21,1.37,1.97,Debt : Dynamic Bond,Nil
